id,usuario_id,conteudo,curtidas,data
1,1,Adorei meu novo café da manhã!,45,2024-01-15T08:30:00
2,2,Treino de hoje foi intenso 💪,78,2024-01-15T09:15:00
3,4,Viagem incrível para a praia,120,2024-01-14T18:20:00
4,1,Dicas de produtividade para 2024,65,2024-01-13T10:00:00
5,6,Meu novo projeto está no ar!,92,2024-01-12T14:30:00
6,3,Final de semana relaxante,38,2024-01-11T16:45:00
7,7,Música nova no Spotify,55,2024-01-10T20:00:00
8,4,Receita de bolo de chocolate,103,2024-01-09T15:30:00
9,12,Iniciando meu canal no YouTube,87,2024-01-15T11:00:00
10,14,Dicas de moda para o verão,156,2024-01-14T13:45:00
11,16,Novo restaurante no centro,72,2024-01-13T19:20:00
12,23,Tecnologia está mudando tudo,189,2024-01-12T08:15:00
13,28,Fotografia é minha paixão,145,2024-01-11T14:30:00
14,34,Melhor série que assisti,98,2024-01-10T21:00:00
15,6,Agradecendo o apoio de todos,76,2024-01-09T10:30:00
16,9,Corrida matinal perfeita,54,2024-01-15T06:45:00
17,10,Viagem para Porto Alegre,89,2024-01-14T17:00:00
18,13,Reflexões sobre a vida,67,2024-01-13T20:30:00
19,15,Nordeste é lindo demais,112,2024-01-12T16:15:00
20,18,Brasília sob um novo olhar,83,2024-01-11T12:00:00
21,20,Empreendedorismo em SP,134,2024-01-10T09:45:00
22,5,Curitiba e suas belezas,61,2024-01-09T18:20:00
23,26,Fashion week foi incrível,178,2024-01-15T15:30:00
24,30,Café especial da tarde,58,2024-01-14T16:10:00
25,38,Design de interiores moderno,95,2024-01-13T11:25:00
26,41,Programação é vida,127,2024-01-12T13:50:00
27,43,Política e sociedade,201,2024-01-11T10:15:00
28,49,Lifestyle saudável,167,2024-01-10T07:30:00
29,8,Brasília no fim de semana,71,2024-01-09T19:45:00
30,11,Recife tem as melhores praias,88,2024-01-15T14:20:00
31,19,Fortaleza apaixonante,79,2024-01-14T12:35:00
32,22,Manaus e a Amazônia,106,2024-01-13T17:50:00
33,25,Porto Alegre gastronômica,92,2024-01-12T20:10:00
34,27,BH tem a melhor comida,85,2024-01-11T15:25:00
35,29,Salvador e o carnaval,143,2024-01-10T11:40:00
