user_id,playlist_id,playlist_name,song_id,song_title,album,artist,genre,genre_relevance
U1,P1,Chill Vibes,S2,Midnight Drive,Digital Dreams,SynthWave Band,electronic,1
U1,P1,Chill Vibes,S1,Neon Lights,Digital Dreams,SynthWave Band,electronic,1
U1,P1,Chill Vibes,S3,Electric Dreams,Neon Future,Future Pulse,electronic,0.9
U1,P2,Rock Energy,S5,Guitar Heroes,Steel Strings,Iron Pulse,rock,1
U1,P2,Rock Energy,S4,Rock the Night,Steel Strings,Iron Pulse,rock,1
U1,P3,Acoustic Mood,S6,Acoustic Breeze,Morning Acoustic,Sunny Strings,acoustic,1
U1,P3,Acoustic Mood,S7,Soft Rain,Morning Acoustic,Sunny Strings,acoustic,1
U1,P4,Urban Flow,S9,Rhythm Street,Street Rhythm,City Flow,hip-hop,0.9
U1,P4,Urban Flow,S8,Urban Beats,Street Rhythm,City Flow,hip-hop,0.9
U1,P5,Evening Jazz,S10,Jazz Cafe,Midnight Jazz,Blue Notes,jazz,1
U2,P6,Electronic Nights,S2,Midnight Drive,Digital Dreams,SynthWave Band,electronic,1
U2,P6,Electronic Nights,S1,Neon Lights,Digital Dreams,SynthWave Band,electronic,1
U2,P7,Rock Legends,S5,Guitar Heroes,Steel Strings,Iron Pulse,rock,1
U2,P7,Rock Legends,S4,Rock the Night,Steel Strings,Iron Pulse,rock,1
U2,P8,Calm Acoustic,S6,Acoustic Breeze,Morning Acoustic,Sunny Strings,acoustic,1
U2,P9,HipHop Streets,S9,Rhythm Street,Street Rhythm,City Flow,hip-hop,0.9
U2,P10,Jazz Lounge,S10,Jazz Cafe,Midnight Jazz,Blue Notes,jazz,1
U3,P11,Synth Lovers,S2,Midnight Drive,Digital Dreams,SynthWave Band,electronic,1
U3,P11,Synth Lovers,S1,Neon Lights,Digital Dreams,SynthWave Band,electronic,1
U3,P12,Hard Rock,S5,Guitar Heroes,Steel Strings,Iron Pulse,rock,1
U3,P13,Acoustic Morning,S6,Acoustic Breeze,Morning Acoustic,Sunny Strings,acoustic,1
U3,P14,City Beats,S9,Rhythm Street,Street Rhythm,City Flow,hip-hop,0.9
U3,P15,Smooth Jazz,S10,Jazz Cafe,Midnight Jazz,Blue Notes,jazz,1
U4,P16,Night Drive,S2,Midnight Drive,Digital Dreams,SynthWave Band,electronic,1
U4,P16,Night Drive,S1,Neon Lights,Digital Dreams,SynthWave Band,electronic,1
U4,P16,Night Drive,S3,Electric Dreams,Neon Future,Future Pulse,electronic,0.9
U4,P17,Rock Hits,S5,Guitar Heroes,Steel Strings,Iron Pulse,rock,1
U4,P18,Acoustic Relax,S7,Soft Rain,Morning Acoustic,Sunny Strings,acoustic,1
U4,P19,Street Mix,S8,Urban Beats,Street Rhythm,City Flow,hip-hop,0.9
U4,P20,Night Jazz,S10,Jazz Cafe,Midnight Jazz,Blue Notes,jazz,1
U5,P21,Synth Chill,S2,Midnight Drive,Digital Dreams,SynthWave Band,electronic,1
U5,P21,Synth Chill,S3,Electric Dreams,Neon Future,Future Pulse,electronic,0.9
U5,P22,Classic Rock,S4,Rock the Night,Steel Strings,Iron Pulse,rock,1
U5,P23,Acoustic Coffee,S6,Acoustic Breeze,Morning Acoustic,Sunny Strings,acoustic,1
U5,P24,Urban Party,S9,Rhythm Street,Street Rhythm,City Flow,hip-hop,0.9
U5,P25,Jazz Classics,S10,Jazz Cafe,Midnight Jazz,Blue Notes,jazz,1
U6,P26,Electro Mix,S1,Neon Lights,Digital Dreams,SynthWave Band,electronic,1
U6,P26,Electro Mix,S3,Electric Dreams,Neon Future,Future Pulse,electronic,0.9
U6,P27,Rock Party,S5,Guitar Heroes,Steel Strings,Iron Pulse,rock,1
U6,P28,Acoustic Evening,S7,Soft Rain,Morning Acoustic,Sunny Strings,acoustic,1
U6,P29,Urban Groove,S8,Urban Beats,Street Rhythm,City Flow,hip-hop,0.9
U6,P30,Jazz Night,S10,Jazz Cafe,Midnight Jazz,Blue Notes,jazz,1
U7,P31,Synth Drive,S2,Midnight Drive,Digital Dreams,SynthWave Band,electronic,1
U7,P32,Metal Edge,S4,Rock the Night,Steel Strings,Iron Pulse,rock,1
U7,P33,Soft Acoustic,S6,Acoustic Breeze,Morning Acoustic,Sunny Strings,acoustic,1
U7,P34,HipHop Mix,S9,Rhythm Street,Street Rhythm,City Flow,hip-hop,0.9
U7,P35,Evening Jazz,S10,Jazz Cafe,Midnight Jazz,Blue Notes,jazz,1
U8,P36,Synth Retro,S1,Neon Lights,Digital Dreams,SynthWave Band,electronic,1
U8,P37,Rock Arena,S5,Guitar Heroes,Steel Strings,Iron Pulse,rock,1
U8,P38,Acoustic Chill,S7,Soft Rain,Morning Acoustic,Sunny Strings,acoustic,1
U8,P39,Street HipHop,S8,Urban Beats,Street Rhythm,City Flow,hip-hop,0.9
U8,P40,Jazz Mood,S10,Jazz Cafe,Midnight Jazz,Blue Notes,jazz,1
U9,P41,Synth Atmosphere,S3,Electric Dreams,Neon Future,Future Pulse,electronic,0.9
U9,P42,Rock Power,S4,Rock the Night,Steel Strings,Iron Pulse,rock,1
U9,P43,Acoustic Relax,S6,Acoustic Breeze,Morning Acoustic,Sunny Strings,acoustic,1
U9,P44,HipHop Night,S9,Rhythm Street,Street Rhythm,City Flow,hip-hop,0.9
U9,P45,Jazz Evening,S10,Jazz Cafe,Midnight Jazz,Blue Notes,jazz,1
U10,P46,Synth Motion,S2,Midnight Drive,Digital Dreams,SynthWave Band,electronic,1
U10,P47,Rock Session,S5,Guitar Heroes,Steel Strings,Iron Pulse,rock,1
U10,P48,Acoustic Sunset,S7,Soft Rain,Morning Acoustic,Sunny Strings,acoustic,1
U10,P49,HipHop Flow,S8,Urban Beats,Street Rhythm,City Flow,hip-hop,0.9
U10,P50,Classic Jazz,S10,Jazz Cafe,Midnight Jazz,Blue Notes,jazz,1
U1,P1,Chill Vibes,S11,Sun is Shining,Legend,Bob Marley,reggae,1
U1,P1,Chill Vibes,S12,Three Little Birds,Legend,Bob Marley,reggae,1
U2,P6,Electronic Nights,S14,Fur Elise,Classics,Ludwig van Beethoven,classical,1
U2,P6,Electronic Nights,S15,Moonlight Sonata,Classics,Ludwig van Beethoven,classical,1
U3,P11,Synth Lovers,S17,Construção,Construção,Chico Buarque,mpb,1
U3,P11,Synth Lovers,S18,Apesar de Você,Chico Buarque,Chico Buarque,mpb,1
U4,P16,Night Drive,S21,Strobe,For Lack of Better Name,deadmau5,electronic,0.8
U4,P16,Night Drive,S22,Ghosts n Stuff,For Lack of Better Name,deadmau5,electronic,0.9
U5,P21,Synth Chill,S26,Smells Like Teen Spirit,Nevermind,Nirvana,rock,1
U5,P21,Synth Chill,S27,Come As You Are,Nevermind,Nirvana,rock,1
U6,P26,Electro Mix,S32,Água de Beber,Água de Beber,Tom Jobim,bossa nova,1
U6,P26,Electro Mix,S33,Garota de Ipanema,Getz/Gilberto,Tom Jobim,bossa nova,1
U7,P31,Synth Drive,S37,Blame It,Blame It,Jamie Foxx,rnb,0.8
U7,P31,Synth Drive,S38,Ordinary People,Get Lifted,John Legend,rnb,1
U8,P36,Synth Retro,S43,Holocene,Ceremonials,Florence + The Machine,indie,0.7
U8,P36,Synth Retro,S44,Dog Days Are Over,Lungs,Florence + The Machine,indie,0.8
U9,P41,Synth Atmosphere,S48,La Bicicleta,La Bicicleta,Carlos Vives,latino,1
U9,P41,Synth Atmosphere,S49,Vivir Mi Vida,Vivir Mi Vida,Marc Anthony,latino,1
U10,P46,Synth Motion,S51,Porcelain,Play,Moby,electronic,0.9
U10,P46,Synth Motion,S53,Glory Box,Dummy,Portishead,trip-hop,1
U11,P51,Reggae Night,S14,Fur Elise,Classics,Ludwig van Beethoven,classical,1
U12,P52,Classical Study,S11,Sun is Shining,Legend,Bob Marley,reggae,1
U12,P52,Classical Study,S17,Construção,Construção,Chico Buarque,mpb,1
U13,P53,MPB Classics,S15,Moonlight Sonata,Classics,Ludwig van Beethoven,classical,1
U13,P53,MPB Classics,S21,Strobe,For Lack of Better Name,deadmau5,electronic,0.8
U14,P54,Electronic Party,S18,Apesar de Você,Chico Buarque,Chico Buarque,mpb,1
U14,P54,Electronic Party,S26,Smells Like Teen Spirit,Nevermind,Nirvana,rock,1
U15,P56,90s Rock,S22,Ghosts n Stuff,For Lack of Better Name,deadmau5,electronic,0.9
U15,P56,90s Rock,S32,Água de Beber,Água de Beber,Tom Jobim,bossa nova,1
U16,P58,Samba Night,S27,Come As You Are,Nevermind,Nirvana,rock,1
U16,P58,Samba Night,S37,Blame It,Blame It,Jamie Foxx,rnb,0.8
U17,P60,R&B Hits,S33,Garota de Ipanema,Getz/Gilberto,Tom Jobim,bossa nova,1
U17,P60,R&B Hits,S43,Holocene,Ceremonials,Florence + The Machine,indie,0.7
U18,P62,Indie Folk,S38,Ordinary People,Get Lifted,John Legend,rnb,1
U18,P62,Indie Folk,S48,La Bicicleta,La Bicicleta,Carlos Vives,latino,1
U19,P64,World Music,S44,Dog Days Are Over,Lungs,Florence + The Machine,indie,0.8
U19,P64,World Music,S51,Porcelain,Play,Moby,electronic,0.9
U20,P65,Chillout Lounge,S49,Vivir Mi Vida,Vivir Mi Vida,Marc Anthony,latino,1
U11,P51,Reggae Night,S53,Glory Box,Dummy,Portishead,trip-hop,1
U20,P65,Chillout Lounge,S11,Sun is Shining,Legend,Bob Marley,reggae,1
U1,P1,Chill Vibes,S26,Smells Like Teen Spirit,Nevermind,Nirvana,rock,1
U15,P56,90s Rock,S2,Midnight Drive,Digital Dreams,SynthWave Band,electronic,1
U2,P6,Electronic Nights,S32,Água de Beber,Água de Beber,Tom Jobim,bossa nova,1
U16,P58,Samba Night,S1,Neon Lights,Digital Dreams,SynthWave Band,electronic,1
U3,P11,Synth Lovers,S37,Blame It,Blame It,Jamie Foxx,rnb,0.8
